Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_AC,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RM,R_HEAT_TYP,YR_BUILT,Latitude,Longitude
203777000,1865000,800.43,2330,Row End,3118,3,3,3,1,1,C,0,R1,Y,RE,F,F,8,W,1870,42.373465,-71.063533
300131000,3150000,754.13,4177,Row Middle,4688,4,5,3,1,2,N,5,R1,Y,RM,M,B,10,W,1880,42.36007,-71.06465
300217000,1717500,0,1344,Row Middle,1792,3,3,1,1,1,N,0,R1,Y,RM,G,B,6,W,1860,42.36006,-71.06624
305877000,1960000,0,1604,Row Middle,2304,2.5,3,2,1,1,C,2,R1,Y,RM,G,B,7,W,1890,42.34336,-71.06929
305883000,2320000,0,1636,Row End,2802,2,3,2,2,1,C,2,R1,Y,RE,G,B,9,F,1899,42.34359,-71.069
305889000,3043000,854.06,3563,Row Middle,4480,3.5,4,4,1,1,C,3,R1,Y,RM,G,B,8,F,1890,42.34331,-71.06895
306980000,2170000,871.14,2491,Row End,2708,3,4,2,1,1,C,2,R1,Y,RE,M,B,8,F,1890,42.3414,-71.07082
306983000,2000000,802.89,2491,Row End,2708,3,5,1,1,1,N,1,R1,Y,RE,M,B,8,F,1890,42.341496,-71.07067
400104000,1650000,726.23,2272,Row Middle,2448,3,4,2,0,2,N,0,R2,Y,RM,M,B,9,E,1868,42.34587,-71.07351
400129000,3299000,0,2611,Row Middle,3394,3,4,4,1,1,C,1,R1,Y,RM,M,B,9,F,1900,42.34489,-71.07301
400132000,3533000,0,2611,Row Middle,3400,3,4,3,3,1,C,2,R1,Y,RM,M,B,9,F,1890,42.34483,-71.07319
400258000,2795000,0,2447,Semi?Det,2600,4,3,2,1,2,C,0,R1,N,SD,M,B,10,F,1855,42.34382,-71.07275
400265000,3699000,0,2702,Row End,3564,3,3,3,1,1,C,3,R1,Y,RE,F,B,8,W,1890,42.343,-71.07495
400366000,2540000,0,2212,Row Middle,2940,3,4,3,0,1,C,0,R1,Y,RM,M,B,12,E,1890,42.34509,-71.07545
400444000,4300000,0,3981,Row Middle,4212,4,5,3,1,1,C,4,R1,Y,RM,M,B,10,W,1890,42.34312,-71.07618
400455000,4200000,0,4146,Row Middle,4404,4,4,3,0,1,C,1,R1,Y,RM,M,B,12,F,1860,42.34353,-71.07591
400735000,2800000,840.08,3348,Row Middle,3728,4,5,3,1,2,C,0,R2,Y,RM,F,B,10,W,1865,42.34495,-71.07849
